TABLE_NAME	ENGINE	TABLE_ROWS	DATA_LENGTH	INDEX_LENGTH	AUTO_INCREMENT	CREATE_TIME	UPDATE_TIME
account_asset_balances	InnoDB	34	16384	65536	651	2026-04-22 03:29:00	2026-07-06 00:30:03
accounts	InnoDB	21	16384	49152	654	2025-12-15 16:36:41	2026-07-10 17:44:20
ad_antifraud_logs	InnoDB	0	16384	32768	11	2026-02-18 13:57:51	NULL
ad_attribution_logs	InnoDB	0	16384	81920	6	2026-02-18 13:57:51	NULL
ad_bid_logs	InnoDB	290	16384	49152	509	2026-06-21 00:14:36	2026-07-10 17:49:41
ad_billing_records	InnoDB	0	16384	98304	1	2026-04-01 21:56:33	NULL
ad_campaigns	InnoDB	3	16384	114688	371	2026-06-21 12:20:07	2026-07-10 17:49:41
ad_click_logs	InnoDB	0	16384	49152	11	2026-02-18 13:57:51	NULL
ad_creatives	InnoDB	3	16384	65536	357	2026-06-23 23:44:37	2026-07-10 17:49:41
ad_dau_daily_stats	InnoDB	1	16384	16384	133	2026-03-01 23:12:30	2026-07-10 16:30:00
ad_impression_logs	InnoDB	0	16384	65536	17	2026-02-18 13:57:51	NULL
ad_interaction_logs	InnoDB	97	16384	81920	230	2026-02-22 04:12:49	2026-07-08 18:42:29
ad_price_adjustment_logs	InnoDB	0	16384	0	1	2026-03-01 23:17:12	NULL
ad_report_daily_snapshots	InnoDB	9	16384	49152	32	2026-04-01 21:56:33	2026-07-09 20:00:00
ad_slots	InnoDB	12	16384	32768	21	2026-06-21 12:20:05	NULL
ad_target_zones	InnoDB	1	16384	16384	4	2026-03-01 23:17:12	NULL
ad_zone_group_members	InnoDB	0	16384	32768	3	2026-03-01 23:17:12	NULL
ad_zone_groups	InnoDB	0	16384	0	2	2026-03-01 23:17:12	NULL
admin_notifications	InnoDB	1376	1589248	229376	73603	2026-02-01 07:58:13	2026-07-10 17:50:00
admin_operation_logs	InnoDB	101	98304	180224	9419	2026-03-14 22:41:42	2026-07-10 17:49:34
administrative_regions	InnoDB	44569	3686400	8454144	NULL	2026-01-12 00:17:42	NULL
alert_silence_rules	InnoDB	0	16384	0	1	2026-02-03 00:20:01	NULL
api_idempotency_requests	InnoDB	218	212992	65536	4032578	2026-02-01 07:58:14	2026-07-10 17:49:46
approval_chain_instances	InnoDB	25	16384	98304	641	2026-03-10 00:15:30	2026-07-10 17:15:18
approval_chain_nodes	InnoDB	7	16384	65536	18	2026-06-20 12:20:10	NULL
