TABLE_NAME	COLUMN_NAME	CONSTRAINT_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
product_bundle_items	child_item_id	product_bundle_items_ibfk_2	exchange_items	exchange_item_id
product_bundle_items	child_sku_id	product_bundle_items_ibfk_3	exchange_item_skus	sku_id
product_bundles	exchange_item_id	product_bundles_ibfk_1	exchange_items	exchange_item_id
purchase_order_items	purchase_order_id	purchase_order_items_ibfk_1	purchase_orders	purchase_order_id
purchase_order_items	exchange_item_id	purchase_order_items_ibfk_2	exchange_items	exchange_item_id
purchase_order_items	sku_id	purchase_order_items_ibfk_3	exchange_item_skus	sku_id
purchase_order_items	batch_id	purchase_order_items_ibfk_4	product_batches	batch_id
purchase_orders	supplier_id	purchase_orders_ibfk_1	suppliers	supplier_id
redemption_orders	item_id	fk_redemption_orders_item_id	items	item_id
redemption_orders	fulfilled_by_staff_id	redemption_orders_fulfilled_by_staff_id_foreign_idx	store_staff	store_staff_id
redemption_orders	fulfilled_store_id	redemption_orders_fulfilled_store_id_foreign_idx	stores	store_id
redemption_orders	redeemer_user_id	redemption_orders_ibfk_2	users	user_id
reminder_history	reminder_rule_id	fk_reminder_history_rule	reminder_rules	reminder_rule_id
reminder_history	acknowledged_by	reminder_history_ibfk_2	users	user_id
reminder_rules	created_by	reminder_rules_ibfk_1	users	user_id
reminder_rules	updated_by	reminder_rules_ibfk_2	users	user_id
report_templates	created_by	report_templates_ibfk_1	users	user_id
report_templates	updated_by	report_templates_ibfk_2	users	user_id
reward_multiplier_campaigns	lottery_campaign_id	fk_rmc_lottery_campaign	lottery_campaigns	lottery_campaign_id
reward_multiplier_targets	multiplier_campaign_id	fk_rmt_campaign	reward_multiplier_campaigns	multiplier_campaign_id
risk_alerts	operator_id	risk_alerts_ibfk_1	users	user_id
risk_alerts	store_id	risk_alerts_ibfk_2	stores	store_id
risk_alerts	target_user_id	risk_alerts_ibfk_3	users	user_id
risk_alerts	reviewed_by	risk_alerts_ibfk_4	users	user_id
shipping_tracks	exchange_record_id	shipping_tracks_ibfk_1	exchange_records	exchange_record_id
sku_attribute_values	sku_id	sku_attribute_values_ibfk_1	exchange_item_skus	sku_id
sku_attribute_values	attribute_id	sku_attribute_values_ibfk_2	attributes	attribute_id
sku_attribute_values	option_id	sku_attribute_values_ibfk_3	attribute_options	option_id
