TABLE_NAME	INDEX_NAME	NON_UNIQUE	SEQ_IN_INDEX	COLUMN_NAME	INDEX_TYPE	SUB_PART	NULLABLE
ad_zone_group_members	uk_group_zone	0	1	group_id	BTREE	NULL	
ad_zone_group_members	uk_group_zone	0	2	zone_id	BTREE	NULL	
ad_zone_group_members	zone_id	1	1	zone_id	BTREE	NULL	
ad_zone_groups	PRIMARY	0	1	group_id	BTREE	NULL	
admin_notifications	idx_admin_notifications_admin_read	1	1	admin_id	BTREE	NULL	
admin_notifications	idx_admin_notifications_admin_read	1	2	is_read	BTREE	NULL	
admin_notifications	idx_admin_notifications_priority_read	1	1	priority	BTREE	NULL	
admin_notifications	idx_admin_notifications_priority_read	1	2	is_read	BTREE	NULL	
admin_notifications	idx_admin_notifications_source	1	1	source_type	BTREE	NULL	YES
admin_notifications	idx_admin_notifications_source	1	2	source_id	BTREE	NULL	YES
admin_notifications	idx_admin_notifications_type_created	1	1	notification_type	BTREE	NULL	
admin_notifications	idx_admin_notifications_type_created	1	2	created_at	BTREE	NULL	
admin_notifications	PRIMARY	0	1	admin_notification_id	BTREE	NULL	
admin_operation_logs	idx_audit_logs_approval_status	1	1	approval_status	BTREE	NULL	
admin_operation_logs	idx_audit_logs_created	1	1	created_at	BTREE	NULL	
admin_operation_logs	idx_audit_logs_ip	1	1	ip_address	BTREE	NULL	YES
admin_operation_logs	idx_audit_logs_operation_type	1	1	operation_type	BTREE	NULL	
admin_operation_logs	idx_audit_logs_operator	1	1	operator_id	BTREE	NULL	
admin_operation_logs	idx_audit_logs_reversible	1	1	is_reversible	BTREE	NULL	
admin_operation_logs	idx_audit_logs_risk_level	1	1	risk_level	BTREE	NULL	
admin_operation_logs	idx_audit_logs_target	1	1	target_type	BTREE	NULL	
admin_operation_logs	idx_audit_logs_target	1	2	target_id	BTREE	NULL	
admin_operation_logs	idx_operation_logs_affected	1	1	affected_users	BTREE	NULL	YES
admin_operation_logs	idx_operation_logs_affected	1	2	affected_amount	BTREE	NULL	YES
admin_operation_logs	idx_operation_logs_deadline	1	1	is_reversible	BTREE	NULL	
admin_operation_logs	idx_operation_logs_deadline	1	2	rollback_deadline	BTREE	NULL	YES
admin_operation_logs	PRIMARY	0	1	admin_operation_log_id	BTREE	NULL	
admin_operation_logs	uk_admin_operation_logs_idempotency_key	0	1	idempotency_key	BTREE	NULL	
administrative_regions	idx_administrative_regions_level_status	1	1	level	BTREE	NULL	
administrative_regions	idx_administrative_regions_level_status	1	2	status	BTREE	NULL	
administrative_regions	idx_administrative_regions_parent_code	1	1	parent_code	BTREE	NULL	YES
administrative_regions	idx_administrative_regions_pinyin	1	1	pinyin	BTREE	NULL	YES
administrative_regions	idx_administrative_regions_region_name	1	1	region_name	BTREE	NULL	
administrative_regions	PRIMARY	0	1	region_code	BTREE	NULL	
alert_silence_rules	idx_alert_silence_type_active	1	1	alert_type	BTREE	NULL	
alert_silence_rules	idx_alert_silence_type_active	1	2	is_active	BTREE	NULL	YES
alert_silence_rules	PRIMARY	0	1	alert_silence_rule_id	BTREE	NULL	
api_idempotency_requests	idempotency_key	0	1	idempotency_key	BTREE	NULL	
api_idempotency_requests	idx_business_event	1	1	business_event_id	BTREE	NULL	YES
api_idempotency_requests	idx_status_expires	1	1	status	BTREE	NULL	
api_idempotency_requests	idx_status_expires	1	2	expires_at	BTREE	NULL	
api_idempotency_requests	idx_user_created	1	1	user_id	BTREE	NULL	
api_idempotency_requests	idx_user_created	1	2	created_at	BTREE	NULL	
api_idempotency_requests	PRIMARY	0	1	api_idempotency_request_id	BTREE	NULL	
approval_chain_instances	fk_aci_review	1	1	content_review_record_id	BTREE	NULL	YES
approval_chain_instances	fk_aci_template	1	1	template_id	BTREE	NULL	
approval_chain_instances	idx_auditable	1	1	auditable_type	BTREE	NULL	
approval_chain_instances	idx_auditable	1	2	auditable_id	BTREE	NULL	
approval_chain_instances	idx_status_step	1	1	status	BTREE	NULL	
approval_chain_instances	idx_status_step	1	2	current_step	BTREE	NULL	
approval_chain_instances	idx_submitted_by	1	1	submitted_by	BTREE	NULL	
approval_chain_instances	PRIMARY	0	1	instance_id	BTREE	NULL	
approval_chain_instances	uk_idempotency_key	0	1	idempotency_key	BTREE	NULL	
approval_chain_nodes	fk_acn_escalate	1	1	escalate_to_node	BTREE	NULL	YES
approval_chain_nodes	fk_acn_user	1	1	assignee_user_id	BTREE	NULL	YES
approval_chain_nodes	idx_assignee_role	1	1	assignee_role_id	BTREE	NULL	YES
approval_chain_nodes	idx_template_step	1	1	template_id	BTREE	NULL	
approval_chain_nodes	idx_template_step	1	2	step_number	BTREE	NULL	
approval_chain_nodes	PRIMARY	0	1	node_id	BTREE	NULL	
approval_chain_step_actions	idx_acsa_step	1	1	step_id	BTREE	NULL	
approval_chain_step_actions	PRIMARY	0	1	step_action_id	BTREE	NULL	
approval_chain_step_actions	uk_step_actor	0	1	step_id	BTREE	NULL	
approval_chain_step_actions	uk_step_actor	0	2	actioned_by	BTREE	NULL	
approval_chain_steps	fk_acs_actioned_by	1	1	actioned_by	BTREE	NULL	YES
approval_chain_steps	fk_acs_node	1	1	node_id	BTREE	NULL	
approval_chain_steps	idx_acs_store_status	1	1	store_id	BTREE	NULL	YES
approval_chain_steps	idx_acs_store_status	1	2	status	BTREE	NULL	
approval_chain_steps	idx_assignee_role_status	1	1	assignee_role_id	BTREE	NULL	YES
approval_chain_steps	idx_assignee_role_status	1	2	status	BTREE	NULL	
approval_chain_steps	idx_assignee_user_status	1	1	assignee_user_id	BTREE	NULL	YES
approval_chain_steps	idx_assignee_user_status	1	2	status	BTREE	NULL	
approval_chain_steps	idx_instance_step	1	1	instance_id	BTREE	NULL	
approval_chain_steps	idx_instance_step	1	2	step_number	BTREE	NULL	
approval_chain_steps	idx_timeout	1	1	timeout_at	BTREE	NULL	YES
approval_chain_steps	PRIMARY	0	1	step_id	BTREE	NULL	
approval_chain_templates	fk_act_created_by	1	1	created_by	BTREE	NULL	YES
approval_chain_templates	idx_auditable_type_active	1	1	auditable_type	BTREE	NULL	
approval_chain_templates	idx_auditable_type_active	1	2	is_active	BTREE	NULL	
approval_chain_templates	PRIMARY	0	1	template_id	BTREE	NULL	
approval_chain_templates	uk_template_code	0	1	template_code	BTREE	NULL	
asset_conversion_rules	idx_acr_pair_status	1	1	from_asset_code	BTREE	NULL	
asset_conversion_rules	idx_acr_pair_status	1	2	to_asset_code	BTREE	NULL	
asset_conversion_rules	idx_acr_pair_status	1	3	status	BTREE	NULL	
asset_conversion_rules	idx_acr_pair_status_priority	1	1	from_asset_code	BTREE	NULL	
asset_conversion_rules	idx_acr_pair_status_priority	1	2	to_asset_code	BTREE	NULL	
asset_conversion_rules	idx_acr_pair_status_priority	1	3	status	BTREE	NULL	
asset_conversion_rules	idx_acr_pair_status_priority	1	4	priority	BTREE	NULL	
asset_conversion_rules	idx_acr_status_effective	1	1	status	BTREE	NULL	
asset_conversion_rules	idx_acr_status_effective	1	2	effective_from	BTREE	NULL	YES
asset_conversion_rules	idx_acr_status_effective	1	3	effective_until	BTREE	NULL	YES
asset_conversion_rules	PRIMARY	0	1	conversion_rule_id	BTREE	NULL	
asset_group_defs	PRIMARY	0	1	group_code	BTREE	NULL	
asset_transactions	idx_account_asset_time	1	1	account_id	BTREE	NULL	
asset_transactions	idx_account_asset_time	1	2	asset_code	BTREE	NULL	
asset_transactions	idx_account_asset_time	1	3	created_at	BTREE	NULL	
