TABLE_NAME	ENGINE	TABLE_ROWS	DATA_LENGTH	INDEX_LENGTH	AUTO_INCREMENT	CREATE_TIME	UPDATE_TIME
account_asset_balances	InnoDB	123	16384	65536	611	2026-04-22 03:29:00	2026-06-21 18:12:44
accounts	InnoDB	133	16384	49152	633	2025-12-15 16:36:41	NULL
ad_antifraud_logs	InnoDB	0	16384	32768	11	2026-02-18 13:57:51	NULL
ad_attribution_logs	InnoDB	0	16384	81920	6	2026-02-18 13:57:51	NULL
ad_bid_logs	InnoDB	24	16384	49152	154	2026-06-21 00:14:36	2026-06-21 19:00:13
ad_billing_records	InnoDB	0	16384	98304	1	2026-04-01 21:56:33	NULL
ad_campaigns	InnoDB	1	16384	114688	354	2026-06-21 12:20:07	NULL
ad_click_logs	InnoDB	0	16384	49152	11	2026-02-18 13:57:51	NULL
ad_creatives	InnoDB	1	16384	65536	340	2026-03-17 12:21:29	2026-06-21 00:14:48
ad_dau_daily_stats	InnoDB	8	16384	16384	114	2026-03-01 23:12:30	2026-06-21 16:30:00
ad_impression_logs	InnoDB	0	16384	65536	17	2026-02-18 13:57:51	NULL
ad_interaction_logs	InnoDB	5	16384	81920	122	2026-02-22 04:12:49	2026-06-21 19:00:13
ad_price_adjustment_logs	InnoDB	0	16384	0	1	2026-03-01 23:17:12	NULL
ad_report_daily_snapshots	InnoDB	0	16384	49152	13	2026-04-01 21:56:33	NULL
ad_slots	InnoDB	12	16384	32768	21	2026-06-21 12:20:05	NULL
ad_target_zones	InnoDB	1	16384	16384	4	2026-03-01 23:17:12	NULL
ad_zone_group_members	InnoDB	0	16384	32768	3	2026-03-01 23:17:12	NULL
ad_zone_groups	InnoDB	0	16384	0	2	2026-03-01 23:17:12	NULL
admin_notifications	InnoDB	53761	48840704	7372800	71616	2026-02-01 07:58:13	2026-06-21 19:05:04
admin_operation_logs	InnoDB	1619	2113536	1802240	9305	2026-03-14 22:41:42	2026-06-20 23:59:17
administrative_regions	InnoDB	44569	3686400	8454144	NULL	2026-01-12 00:17:42	NULL
alert_silence_rules	InnoDB	0	16384	0	1	2026-02-03 00:20:01	NULL
api_idempotency_requests	InnoDB	36	1064960	65536	4032099	2026-02-01 07:58:14	2026-06-21 18:12:44
approval_chain_instances	InnoDB	5	16384	98304	524	2026-03-10 00:15:30	NULL
approval_chain_nodes	InnoDB	6	16384	65536	16	2026-06-20 12:20:10	NULL
approval_chain_step_actions	InnoDB	0	16384	16384	1	2026-06-20 01:01:57	NULL
approval_chain_steps	InnoDB	10	16384	114688	531	2026-06-20 12:20:10	NULL
