TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
ad_zone_group_members	uk_group_zone	UNIQUE	zone_id	NULL	NULL
ad_zone_groups	PRIMARY	PRIMARY KEY	group_id	NULL	NULL
admin_notifications	admin_notifications_ibfk_1	FOREIGN KEY	admin_id	users	user_id
admin_notifications	PRIMARY	PRIMARY KEY	admin_notification_id	NULL	NULL
administrative_regions	PRIMARY	PRIMARY KEY	region_code	NULL	NULL
alert_silence_rules	PRIMARY	PRIMARY KEY	alert_silence_rule_id	NULL	NULL
api_idempotency_requests	idempotency_key	UNIQUE	idempotency_key	NULL	NULL
api_idempotency_requests	PRIMARY	PRIMARY KEY	api_idempotency_request_id	NULL	NULL
approval_chain_instances	fk_aci_review	FOREIGN KEY	content_review_record_id	content_review_records	content_review_record_id
approval_chain_instances	fk_aci_submitter	FOREIGN KEY	submitted_by	users	user_id
approval_chain_instances	fk_aci_template	FOREIGN KEY	template_id	approval_chain_templates	template_id
approval_chain_instances	PRIMARY	PRIMARY KEY	instance_id	NULL	NULL
approval_chain_instances	uk_idempotency_key	UNIQUE	idempotency_key	NULL	NULL
approval_chain_nodes	fk_acn_escalate	FOREIGN KEY	escalate_to_node	approval_chain_nodes	node_id
approval_chain_nodes	fk_acn_role	FOREIGN KEY	assignee_role_id	roles	role_id
approval_chain_nodes	fk_acn_template	FOREIGN KEY	template_id	approval_chain_templates	template_id
approval_chain_nodes	fk_acn_user	FOREIGN KEY	assignee_user_id	users	user_id
approval_chain_nodes	PRIMARY	PRIMARY KEY	node_id	NULL	NULL
approval_chain_step_actions	approval_chain_step_actions_ibfk_1	FOREIGN KEY	step_id	approval_chain_steps	step_id
approval_chain_step_actions	PRIMARY	PRIMARY KEY	step_action_id	NULL	NULL
approval_chain_step_actions	uk_step_actor	UNIQUE	step_id	NULL	NULL
approval_chain_step_actions	uk_step_actor	UNIQUE	actioned_by	NULL	NULL
approval_chain_steps	fk_acs_actioned_by	FOREIGN KEY	actioned_by	users	user_id
approval_chain_steps	fk_acs_assignee_role	FOREIGN KEY	assignee_role_id	roles	role_id
approval_chain_steps	fk_acs_assignee_user	FOREIGN KEY	assignee_user_id	users	user_id
approval_chain_steps	fk_acs_instance	FOREIGN KEY	instance_id	approval_chain_instances	instance_id
approval_chain_steps	fk_acs_node	FOREIGN KEY	node_id	approval_chain_nodes	node_id
approval_chain_steps	PRIMARY	PRIMARY KEY	step_id	NULL	NULL
approval_chain_templates	fk_act_created_by	FOREIGN KEY	created_by	users	user_id
approval_chain_templates	PRIMARY	PRIMARY KEY	template_id	NULL	NULL
approval_chain_templates	uk_template_code	UNIQUE	template_code	NULL	NULL
asset_conversion_rules	PRIMARY	PRIMARY KEY	conversion_rule_id	NULL	NULL
asset_group_defs	PRIMARY	PRIMARY KEY	group_code	NULL	NULL
asset_transactions	asset_transactions_account_id_foreign_idx	FOREIGN KEY	account_id	accounts	account_id
asset_transactions	PRIMARY	PRIMARY KEY	asset_transaction_id	NULL	NULL
asset_transactions	uk_asset_transactions_transaction_no	UNIQUE	transaction_no	NULL	NULL
asset_transactions	uk_idempotency_key	UNIQUE	idempotency_key	NULL	NULL
attribute_options	attribute_options_ibfk_1	FOREIGN KEY	attribute_id	attributes	attribute_id
attribute_options	PRIMARY	PRIMARY KEY	option_id	NULL	NULL
attributes	attribute_code	UNIQUE	attribute_code	NULL	NULL
attributes	PRIMARY	PRIMARY KEY	attribute_id	NULL	NULL
authentication_sessions	authentication_sessions_ibfk_1	FOREIGN KEY	user_id	users	user_id
authentication_sessions	PRIMARY	PRIMARY KEY	authentication_session_id	NULL	NULL
authentication_sessions	session_token	UNIQUE	session_token	NULL	NULL
bid_products	bid_products_ibfk_2	FOREIGN KEY	winner_user_id	users	user_id
bid_products	bid_products_ibfk_3	FOREIGN KEY	created_by	users	user_id
bid_products	fk_bid_products_exchange_item	FOREIGN KEY	exchange_item_id	exchange_items	exchange_item_id
bid_products	PRIMARY	PRIMARY KEY	bid_product_id	NULL	NULL
