TABLE_NAME	INDEX_NAME	COLUMN_NAME	NON_UNIQUE	SEQ_IN_INDEX	INDEX_TYPE
admin_operation_logs	idx_audit_logs_approval_status	approval_status	1	1	BTREE
admin_operation_logs	idx_audit_logs_created	created_at	1	1	BTREE
admin_operation_logs	idx_audit_logs_ip	ip_address	1	1	BTREE
admin_operation_logs	idx_audit_logs_operation_type	operation_type	1	1	BTREE
admin_operation_logs	idx_audit_logs_operator	operator_id	1	1	BTREE
admin_operation_logs	idx_audit_logs_reversible	is_reversible	1	1	BTREE
admin_operation_logs	idx_audit_logs_risk_level	risk_level	1	1	BTREE
admin_operation_logs	idx_audit_logs_target	target_type	1	1	BTREE
admin_operation_logs	idx_audit_logs_target	target_id	1	2	BTREE
admin_operation_logs	idx_operation_logs_affected	affected_users	1	1	BTREE
admin_operation_logs	idx_operation_logs_affected	affected_amount	1	2	BTREE
admin_operation_logs	idx_operation_logs_deadline	is_reversible	1	1	BTREE
admin_operation_logs	idx_operation_logs_deadline	rollback_deadline	1	2	BTREE
admin_operation_logs	PRIMARY	admin_operation_log_id	0	1	BTREE
admin_operation_logs	uk_admin_operation_logs_idempotency_key	idempotency_key	0	1	BTREE
administrative_regions	idx_administrative_regions_level_status	level	1	1	BTREE
administrative_regions	idx_administrative_regions_level_status	status	1	2	BTREE
administrative_regions	idx_administrative_regions_parent_code	parent_code	1	1	BTREE
administrative_regions	idx_administrative_regions_pinyin	pinyin	1	1	BTREE
administrative_regions	idx_administrative_regions_region_name	region_name	1	1	BTREE
administrative_regions	PRIMARY	region_code	0	1	BTREE
alert_silence_rules	idx_alert_silence_type_active	alert_type	1	1	BTREE
alert_silence_rules	idx_alert_silence_type_active	is_active	1	2	BTREE
alert_silence_rules	PRIMARY	alert_silence_rule_id	0	1	BTREE
api_idempotency_requests	idempotency_key	idempotency_key	0	1	BTREE
api_idempotency_requests	idx_business_event	business_event_id	1	1	BTREE
api_idempotency_requests	idx_status_expires	status	1	1	BTREE
api_idempotency_requests	idx_status_expires	expires_at	1	2	BTREE
api_idempotency_requests	idx_user_created	user_id	1	1	BTREE
api_idempotency_requests	idx_user_created	created_at	1	2	BTREE
api_idempotency_requests	PRIMARY	api_idempotency_request_id	0	1	BTREE
approval_chain_instances	fk_aci_review	content_review_record_id	1	1	BTREE
approval_chain_instances	fk_aci_template	template_id	1	1	BTREE
approval_chain_instances	idx_auditable	auditable_type	1	1	BTREE
approval_chain_instances	idx_auditable	auditable_id	1	2	BTREE
approval_chain_instances	idx_status_step	status	1	1	BTREE
approval_chain_instances	idx_status_step	current_step	1	2	BTREE
approval_chain_instances	idx_submitted_by	submitted_by	1	1	BTREE
approval_chain_instances	PRIMARY	instance_id	0	1	BTREE
approval_chain_instances	uk_idempotency_key	idempotency_key	0	1	BTREE
approval_chain_nodes	fk_acn_escalate	escalate_to_node	1	1	BTREE
approval_chain_nodes	fk_acn_user	assignee_user_id	1	1	BTREE
approval_chain_nodes	idx_assignee_role	assignee_role_id	1	1	BTREE
approval_chain_nodes	idx_template_step	template_id	1	1	BTREE
approval_chain_nodes	idx_template_step	step_number	1	2	BTREE
approval_chain_nodes	PRIMARY	node_id	0	1	BTREE
approval_chain_steps	fk_acs_actioned_by	actioned_by	1	1	BTREE
approval_chain_steps	fk_acs_node	node_id	1	1	BTREE
approval_chain_steps	idx_assignee_role_status	assignee_role_id	1	1	BTREE
approval_chain_steps	idx_assignee_role_status	status	1	2	BTREE
approval_chain_steps	idx_assignee_user_status	assignee_user_id	1	1	BTREE
approval_chain_steps	idx_assignee_user_status	status	1	2	BTREE
approval_chain_steps	idx_instance_step	instance_id	1	1	BTREE
approval_chain_steps	idx_instance_step	step_number	1	2	BTREE
approval_chain_steps	idx_timeout	timeout_at	1	1	BTREE
approval_chain_steps	PRIMARY	step_id	0	1	BTREE
approval_chain_templates	fk_act_created_by	created_by	1	1	BTREE
approval_chain_templates	idx_auditable_type_active	auditable_type	1	1	BTREE
approval_chain_templates	idx_auditable_type_active	is_active	1	2	BTREE
approval_chain_templates	PRIMARY	template_id	0	1	BTREE
approval_chain_templates	uk_template_code	template_code	0	1	BTREE
asset_group_defs	PRIMARY	group_code	0	1	BTREE
asset_transactions	idx_account_asset_time	account_id	1	1	BTREE
asset_transactions	idx_account_asset_time	asset_code	1	2	BTREE
asset_transactions	idx_account_asset_time	created_at	1	3	BTREE
asset_transactions	idx_asset_code_time	asset_code	1	1	BTREE
asset_transactions	idx_asset_code_time	created_at	1	2	BTREE
asset_transactions	idx_asset_test_data	is_test_data	1	1	BTREE
asset_transactions	idx_asset_test_data	business_type	1	2	BTREE
asset_transactions	idx_asset_tx_counterpart	counterpart_account_id	1	1	BTREE
asset_transactions	idx_business_type_time	business_type	1	1	BTREE
asset_transactions	idx_business_type_time	created_at	1	2	BTREE
asset_transactions	idx_frozen_change	account_id	1	1	BTREE
asset_transactions	idx_frozen_change	asset_code	1	2	BTREE
asset_transactions	idx_frozen_change	frozen_amount_change	1	3	BTREE
asset_transactions	idx_lottery_session_id	lottery_session_id	1	1	BTREE
asset_transactions	PRIMARY	asset_transaction_id	0	1	BTREE
asset_transactions	uk_asset_transactions_transaction_no	transaction_no	0	1	BTREE
asset_transactions	uk_idempotency_key	idempotency_key	0	1	BTREE
attribute_options	idx_attr_options_attr_sort	attribute_id	1	1	BTREE
attribute_options	idx_attr_options_attr_sort	sort_order	1	2	BTREE
attribute_options	PRIMARY	option_id	0	1	BTREE
attributes	attribute_code	attribute_code	0	1	BTREE
attributes	idx_attributes_enabled_sort	is_enabled	1	1	BTREE
attributes	idx_attributes_enabled_sort	sort_order	1	2	BTREE
attributes	idx_attributes_sale_attr	is_sale_attr	1	1	BTREE
attributes	PRIMARY	attribute_id	0	1	BTREE
auction_bids	idempotency_key	idempotency_key	0	1	BTREE
auction_bids	idx_auction_bids_listing_amount	auction_listing_id	1	1	BTREE
auction_bids	idx_auction_bids_listing_amount	bid_amount	1	2	BTREE
auction_bids	idx_auction_bids_user	user_id	1	1	BTREE
auction_bids	idx_auction_bids_user	auction_listing_id	1	2	BTREE
auction_bids	PRIMARY	auction_bid_id	0	1	BTREE
auction_listings	idx_auction_asset	price_asset_code	1	1	BTREE
auction_listings	idx_auction_asset	status	1	2	BTREE
auction_listings	idx_auction_item	item_id	1	1	BTREE
auction_listings	idx_auction_seller	seller_user_id	1	1	BTREE
auction_listings	idx_auction_seller	status	1	2	BTREE
auction_listings	idx_auction_status_end	status	1	1	BTREE
auction_listings	idx_auction_status_end	end_time	1	2	BTREE
auction_listings	idx_auction_status_start	status	1	1	BTREE
auction_listings	idx_auction_status_start	start_time	1	2	BTREE
auction_listings	PRIMARY	auction_listing_id	0	1	BTREE
auction_listings	winner_user_id	winner_user_id	1	1	BTREE
authentication_sessions	idx_user_sessions_expires	expires_at	1	1	BTREE
authentication_sessions	idx_user_sessions_expires	is_active	1	2	BTREE
authentication_sessions	idx_user_sessions_platform	user_type	1	1	BTREE
authentication_sessions	idx_user_sessions_platform	user_id	1	2	BTREE
authentication_sessions	idx_user_sessions_platform	login_platform	1	3	BTREE
authentication_sessions	idx_user_sessions_platform	is_active	1	4	BTREE
authentication_sessions	idx_user_sessions_user_created	user_id	1	1	BTREE
authentication_sessions	idx_user_sessions_user_created	created_at	1	2	BTREE
