TABLE_NAME	CONSTRAINT_NAME	CONSTRAINT_TYPE
batch_operation_logs	PRIMARY	PRIMARY KEY
batch_operation_logs	idempotency_key	UNIQUE
batch_operation_logs	idx_batch_ops_idempotency_key	UNIQUE
bid_products	bid_products_ibfk_2	FOREIGN KEY
bid_products	bid_products_ibfk_3	FOREIGN KEY
bid_products	fk_bid_products_exchange_item	FOREIGN KEY
bid_products	PRIMARY	PRIMARY KEY
bid_records	bid_records_ibfk_1	FOREIGN KEY
bid_records	bid_records_ibfk_2	FOREIGN KEY
bid_records	PRIMARY	PRIMARY KEY
bid_records	idempotency_key	UNIQUE
categories	categories_ibfk_1	FOREIGN KEY
categories	categories_ibfk_2	FOREIGN KEY
categories	PRIMARY	PRIMARY KEY
categories	category_code	UNIQUE
category_attributes	category_attributes_ibfk_1	FOREIGN KEY
category_attributes	category_attributes_ibfk_2	FOREIGN KEY
category_attributes	PRIMARY	PRIMARY KEY
category_attributes	uk_category_attribute	UNIQUE
chat_messages	fk_chat_messages_sender_id	FOREIGN KEY
chat_messages	fk_chat_messages_session	FOREIGN KEY
chat_messages	PRIMARY	PRIMARY KEY
chat_messages	new_message_id	UNIQUE
consumption_records	chk_approved_has_reward	CHECK
consumption_records	fk_consumption_records_merchant_id	FOREIGN KEY
consumption_records	fk_consumption_records_reviewed_by	FOREIGN KEY
consumption_records	fk_consumption_records_user_id	FOREIGN KEY
consumption_records	fk_consumption_store	FOREIGN KEY
consumption_records	PRIMARY	PRIMARY KEY
consumption_records	uk_consumption_records_business_id	UNIQUE
consumption_records	uk_consumption_records_idempotency_key	UNIQUE
consumption_records	uk_consumption_records_order_no	UNIQUE
content_review_records	content_review_records_ibfk_1	FOREIGN KEY
content_review_records	PRIMARY	PRIMARY KEY
content_review_records	uk_content_review_auditable	UNIQUE
customer_service_agents	customer_service_agents_ibfk_1	FOREIGN KEY
customer_service_agents	PRIMARY	PRIMARY KEY
customer_service_agents	user_id	UNIQUE
customer_service_issues	customer_service_issues_ibfk_1	FOREIGN KEY
customer_service_issues	customer_service_issues_ibfk_2	FOREIGN KEY
customer_service_issues	customer_service_issues_ibfk_3	FOREIGN KEY
customer_service_issues	customer_service_issues_ibfk_4	FOREIGN KEY
customer_service_issues	PRIMARY	PRIMARY KEY
customer_service_notes	customer_service_notes_ibfk_1	FOREIGN KEY
customer_service_notes	customer_service_notes_ibfk_2	FOREIGN KEY
customer_service_notes	customer_service_notes_ibfk_3	FOREIGN KEY
customer_service_notes	customer_service_notes_ibfk_4	FOREIGN KEY
customer_service_notes	PRIMARY	PRIMARY KEY
customer_service_sessions	customer_service_sessions_issue_id_foreign_idx	FOREIGN KEY
customer_service_sessions	fk_customer_sessions_admin_id	FOREIGN KEY
customer_service_sessions	fk_customer_sessions_closed_by	FOREIGN KEY
customer_service_sessions	fk_customer_sessions_user_id	FOREIGN KEY
customer_service_sessions	PRIMARY	PRIMARY KEY
customer_service_sessions	idx_user_active_session	UNIQUE
customer_service_user_assignments	customer_service_user_assignments_ibfk_1	FOREIGN KEY
customer_service_user_assignments	customer_service_user_assignments_ibfk_2	FOREIGN KEY
customer_service_user_assignments	customer_service_user_assignments_ibfk_3	FOREIGN KEY
customer_service_user_assignments	PRIMARY	PRIMARY KEY
customer_service_user_assignments	uk_cs_user_assign_active	UNIQUE
diy_materials	PRIMARY	PRIMARY KEY
diy_materials	material_code	UNIQUE
diy_templates	diy_templates_base_image_media_id_foreign_idx	FOREIGN KEY
diy_templates	diy_templates_ibfk_1	FOREIGN KEY
diy_templates	diy_templates_preview_media_id_foreign_idx	FOREIGN KEY
diy_templates	PRIMARY	PRIMARY KEY
diy_templates	uk_diy_templates_template_code	UNIQUE
diy_works	diy_works_account_id_foreign_idx	FOREIGN KEY
diy_works	diy_works_ibfk_2	FOREIGN KEY
diy_works	diy_works_item_id_foreign_idx	FOREIGN KEY
diy_works	diy_works_preview_media_id_foreign_idx	FOREIGN KEY
diy_works	PRIMARY	PRIMARY KEY
diy_works	uk_diy_works_idempotency_key	UNIQUE
diy_works	uk_diy_works_work_code	UNIQUE
exchange_channel_prices	exchange_channel_prices_ibfk_1	FOREIGN KEY
exchange_channel_prices	PRIMARY	PRIMARY KEY
exchange_channel_prices	uk_exchange_price_sku_asset	UNIQUE
exchange_item_attribute_values	exchange_item_attribute_values_ibfk_1	FOREIGN KEY
exchange_item_attribute_values	exchange_item_attribute_values_ibfk_2	FOREIGN KEY
exchange_item_attribute_values	PRIMARY	PRIMARY KEY
exchange_item_attribute_values	uk_product_attribute	UNIQUE
exchange_item_skus	exchange_item_skus_ibfk_1	FOREIGN KEY
exchange_item_skus	exchange_item_skus_ibfk_2	FOREIGN KEY
exchange_item_skus	PRIMARY	PRIMARY KEY
exchange_item_skus	sku_code	UNIQUE
exchange_items	exchange_items_ibfk_1	FOREIGN KEY
exchange_items	exchange_items_ibfk_2	FOREIGN KEY
exchange_items	exchange_items_ibfk_3	FOREIGN KEY
exchange_items	exchange_items_ibfk_4	FOREIGN KEY
exchange_items	PRIMARY	PRIMARY KEY
exchange_order_events	exchange_order_events_ibfk_2	FOREIGN KEY
exchange_order_events	exchange_order_events_order_no_fk	FOREIGN KEY
exchange_order_events	PRIMARY	PRIMARY KEY
exchange_order_events	idempotency_key	UNIQUE
exchange_rates	PRIMARY	PRIMARY KEY
exchange_rates	uk_exchange_rate_pair	UNIQUE
exchange_records	exchange_records_exchange_item_id_fk	FOREIGN KEY
exchange_records	exchange_records_ibfk_1	FOREIGN KEY
exchange_records	exchange_records_item_id_foreign_idx	FOREIGN KEY
exchange_records	exchange_records_sku_id_fk	FOREIGN KEY
exchange_records	PRIMARY	PRIMARY KEY
exchange_records	order_no	UNIQUE
exchange_records	uk_exchange_records_business_id	UNIQUE
exchange_records	uk_exchange_records_idempotency_key	UNIQUE
exchange_records	uk_order_no	UNIQUE
feature_flags	PRIMARY	PRIMARY KEY
feature_flags	flag_key	UNIQUE
feedbacks	feedbacks_ibfk_1	FOREIGN KEY
feedbacks	feedbacks_ibfk_2	FOREIGN KEY
feedbacks	PRIMARY	PRIMARY KEY
item_holds	item_holds_ibfk_1	FOREIGN KEY
item_holds	PRIMARY	PRIMARY KEY
item_ledger	item_ledger_ibfk_1	FOREIGN KEY
item_ledger	item_ledger_ibfk_2	FOREIGN KEY
item_ledger	item_ledger_ibfk_3	FOREIGN KEY
item_ledger	PRIMARY	PRIMARY KEY
item_ledger	uk_item_idempotency	UNIQUE
item_templates	fk_item_templates_category	FOREIGN KEY
item_templates	item_templates_ibfk_2	FOREIGN KEY
item_templates	item_templates_primary_media_id_foreign_idx	FOREIGN KEY
item_templates	PRIMARY	PRIMARY KEY
item_templates	template_code	UNIQUE
items	items_ibfk_1	FOREIGN KEY
items	items_item_template_id_foreign_idx	FOREIGN KEY
items	items_merchant_id_foreign_idx	FOREIGN KEY
items	PRIMARY	PRIMARY KEY
items	tracking_code	UNIQUE
lottery_alerts	lottery_alerts_ibfk_1	FOREIGN KEY
lottery_alerts	lottery_alerts_ibfk_2	FOREIGN KEY
lottery_alerts	PRIMARY	PRIMARY KEY
lottery_campaign_pricing_config	fk_pricing_config_campaign	FOREIGN KEY
lottery_campaign_pricing_config	fk_pricing_config_creator	FOREIGN KEY
lottery_campaign_pricing_config	fk_pricing_config_updater	FOREIGN KEY
lottery_campaign_pricing_config	PRIMARY	PRIMARY KEY
lottery_campaign_pricing_config	uk_campaign_version	UNIQUE
lottery_campaign_quota_grants	PRIMARY	PRIMARY KEY
lottery_campaign_user_quota	fk_user_quota_campaign_id	FOREIGN KEY
lottery_campaign_user_quota	fk_user_quota_user_id	FOREIGN KEY
lottery_campaign_user_quota	PRIMARY	PRIMARY KEY
lottery_campaign_user_quota	uk_user_campaign_quota	UNIQUE
lottery_campaigns	PRIMARY	PRIMARY KEY
lottery_campaigns	campaign_code	UNIQUE
lottery_daily_metrics	fk_daily_metrics_campaign_id	FOREIGN KEY
lottery_daily_metrics	PRIMARY	PRIMARY KEY
lottery_daily_metrics	uk_daily_campaign_date	UNIQUE
lottery_draw_decisions	PRIMARY	PRIMARY KEY
lottery_draw_decisions	uk_decisions_draw_id	UNIQUE
lottery_draw_quota_rules	PRIMARY	PRIMARY KEY
lottery_draws	fk_lottery_draws_user_id	FOREIGN KEY
lottery_draws	fk_lottery_records_campaign	FOREIGN KEY
lottery_draws	lottery_draws_ibfk_4	FOREIGN KEY
lottery_draws	PRIMARY	PRIMARY KEY
lottery_draws	draw_seq	UNIQUE
lottery_draws	uk_lottery_draws_business_id	UNIQUE
lottery_draws	uk_lottery_draws_idempotency_key	UNIQUE
lottery_draws	uk_lottery_draws_order_no	UNIQUE
lottery_hourly_metrics	fk_hourly_metrics_campaign_id	FOREIGN KEY
