CONSTRAINT_NAME	TABLE_NAME	COLUMN_NAME	REFERENCED_TABLE_NAME	REFERENCED_COLUMN_NAME
fk_customer_sessions_closed_by	customer_service_sessions	closed_by	users	user_id
fk_customer_sessions_user_id	customer_service_sessions	user_id	users	user_id
customer_service_user_assignments_ibfk_1	customer_service_user_assignments	user_id	users	user_id
customer_service_user_assignments_ibfk_2	customer_service_user_assignments	agent_id	customer_service_agents	customer_service_agent_id
customer_service_user_assignments_ibfk_3	customer_service_user_assignments	assigned_by	users	user_id
diy_templates_base_image_media_id_foreign_idx	diy_templates	base_image_media_id	media_files	media_id
diy_templates_ibfk_1	diy_templates	category_id	categories	category_id
diy_templates_preview_media_id_foreign_idx	diy_templates	preview_media_id	media_files	media_id
diy_works_account_id_foreign_idx	diy_works	account_id	accounts	account_id
diy_works_ibfk_2	diy_works	diy_template_id	diy_templates	diy_template_id
diy_works_item_id_foreign_idx	diy_works	item_id	items	item_id
diy_works_preview_media_id_foreign_idx	diy_works	preview_media_id	media_files	media_id
exchange_channel_prices_ibfk_1	exchange_channel_prices	sku_id	exchange_item_skus	sku_id
exchange_item_attribute_values_ibfk_1	exchange_item_attribute_values	exchange_item_id	exchange_items	exchange_item_id
exchange_item_attribute_values_ibfk_2	exchange_item_attribute_values	attribute_id	attributes	attribute_id
exchange_item_skus_ibfk_1	exchange_item_skus	exchange_item_id	exchange_items	exchange_item_id
exchange_item_skus_ibfk_2	exchange_item_skus	image_id	media_files	media_id
exchange_items_ibfk_1	exchange_items	category_id	categories	category_id
exchange_items_ibfk_2	exchange_items	primary_media_id	media_files	media_id
exchange_items_ibfk_3	exchange_items	item_template_id	item_templates	item_template_id
exchange_items_ibfk_4	exchange_items	rarity_code	rarity_defs	rarity_code
exchange_order_events_ibfk_2	exchange_order_events	operator_id	users	user_id
exchange_order_events_order_no_fk	exchange_order_events	order_no	exchange_records	order_no
exchange_records_exchange_item_id_fk	exchange_records	exchange_item_id	exchange_items	exchange_item_id
exchange_records_ibfk_1	exchange_records	user_id	users	user_id
exchange_records_item_id_foreign_idx	exchange_records	item_id	items	item_id
exchange_records_sku_id_fk	exchange_records	sku_id	exchange_item_skus	sku_id
feedbacks_ibfk_1	feedbacks	user_id	users	user_id
feedbacks_ibfk_2	feedbacks	admin_id	users	user_id
item_holds_ibfk_1	item_holds	item_id	items	item_id
item_ledger_ibfk_1	item_ledger	item_id	items	item_id
item_ledger_ibfk_2	item_ledger	account_id	accounts	account_id
item_ledger_ibfk_3	item_ledger	counterpart_id	accounts	account_id
fk_item_templates_category	item_templates	category_id	categories	category_id
item_templates_ibfk_2	item_templates	rarity_code	rarity_defs	rarity_code
item_templates_primary_media_id_foreign_idx	item_templates	primary_media_id	media_files	media_id
items_ibfk_1	items	owner_account_id	accounts	account_id
items_item_template_id_foreign_idx	items	item_template_id	item_templates	item_template_id
items_merchant_id_foreign_idx	items	merchant_id	merchants	merchant_id
lottery_alerts_ibfk_1	lottery_alerts	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_alerts_ibfk_2	lottery_alerts	resolved_by	users	user_id
fk_pricing_config_campaign	lottery_campaign_pricing_config	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_pricing_config_creator	lottery_campaign_pricing_config	created_by	users	user_id
fk_pricing_config_updater	lottery_campaign_pricing_config	updated_by	users	user_id
fk_user_quota_campaign_id	lottery_campaign_user_quota	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_user_quota_user_id	lottery_campaign_user_quota	user_id	users	user_id
fk_daily_metrics_campaign_id	lottery_daily_metrics	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_lottery_draws_user_id	lottery_draws	user_id	users	user_id
fk_lottery_records_campaign	lottery_draws	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_draws_ibfk_4	lottery_draws	lottery_prize_id	lottery_prizes	lottery_prize_id
fk_hourly_metrics_campaign_id	lottery_hourly_metrics	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_management_settings_ibfk_1	lottery_management_settings	user_id	users	user_id
lottery_management_settings_ibfk_2	lottery_management_settings	created_by	users	user_id
lottery_management_settings_lottery_campaign_id_foreign_idx	lottery_management_settings	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_lottery_presets_created_by	lottery_presets	created_by	users	user_id
fk_lottery_presets_prize_id	lottery_presets	lottery_prize_id	lottery_prizes	lottery_prize_id
fk_lottery_presets_user_id	lottery_presets	user_id	users	user_id
fk_lottery_prizes_campaign	lottery_prizes	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_lottery_prizes_rarity_code	lottery_prizes	rarity_code	rarity_defs	rarity_code
lottery_prizes_merchant_id_foreign_idx	lottery_prizes	merchant_id	merchants	merchant_id
lottery_prizes_primary_media_id_foreign_idx	lottery_prizes	primary_media_id	media_files	media_id
lottery_simulation_records_ibfk_1	lottery_simulation_records	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
lottery_simulation_records_ibfk_2	lottery_simulation_records	created_by	users	user_id
lottery_simulation_records_ibfk_3	lottery_simulation_records	applied_by	users	user_id
fk_strategy_config_campaign	lottery_strategy_config	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_matrix_config_campaign	lottery_tier_matrix_config	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_tier_rules_campaign_id	lottery_tier_rules	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_experience_state_campaign_id	lottery_user_experience_state	lottery_campaign_id	lottery_campaigns	lottery_campaign_id
fk_experience_state_user_id	lottery_user_experience_state	user_id	users	user_id
fk_global_state_user_id	lottery_user_global_state	user_id	users	user_id
fk_market_listings_offer_category	market_listings	offer_category_id	categories	category_id
fk_market_listings_offer_item_id	market_listings	offer_item_id	items	item_id
market_listings_ibfk_1	market_listings	seller_user_id	users	user_id
market_listings_offer_asset_group_code_foreign_idx	market_listings	offer_asset_group_code	asset_group_defs	group_code
market_listings_offer_item_rarity_foreign_idx	market_listings	offer_item_rarity	rarity_defs	rarity_code
market_listings_offer_item_template_id_foreign_idx	market_listings	offer_item_template_id	item_templates	item_template_id
fk_mat_group_code	material_asset_types	group_code	asset_group_defs	group_code
fk_material_asset_types_group_code	material_asset_types	group_code	asset_group_defs	group_code
material_asset_types_merchant_id_foreign_idx	material_asset_types	merchant_id	merchants	merchant_id
media_attachments_ibfk_1	media_attachments	media_id	media_files	media_id
fk_merchant_logs_consumption_record	merchant_operation_logs	consumption_record_id	consumption_records	consumption_record_id
merchant_operation_logs_ibfk_1	merchant_operation_logs	operator_id	users	user_id
merchant_operation_logs_ibfk_2	merchant_operation_logs	store_id	stores	store_id
merchant_operation_logs_ibfk_3	merchant_operation_logs	target_user_id	users	user_id
merchant_operation_logs_ibfk_5	merchant_operation_logs	store_id	stores	store_id
merchants_ibfk_1	merchants	settlement_account_id	accounts	account_id
fk_budget_debt_preset	preset_budget_debt	lottery_preset_id	lottery_presets	lottery_preset_id
fk_budget_debt_user_id	preset_budget_debt	user_id	users	user_id
fk_inv_debt_preset	preset_inventory_debt	lottery_preset_id	lottery_presets	lottery_preset_id
fk_inv_debt_prize_id	preset_inventory_debt	lottery_prize_id	lottery_prizes	lottery_prize_id
fk_inv_debt_user_id	preset_inventory_debt	user_id	users	user_id
fk_redemption_orders_item_id	redemption_orders	item_id	items	item_id
redemption_orders_fulfilled_by_staff_id_foreign_idx	redemption_orders	fulfilled_by_staff_id	store_staff	store_staff_id
redemption_orders_fulfilled_store_id_foreign_idx	redemption_orders	fulfilled_store_id	stores	store_id
redemption_orders_ibfk_2	redemption_orders	redeemer_user_id	users	user_id
fk_reminder_history_rule	reminder_history	reminder_rule_id	reminder_rules	reminder_rule_id
reminder_history_ibfk_2	reminder_history	acknowledged_by	users	user_id
reminder_rules_ibfk_1	reminder_rules	created_by	users	user_id
reminder_rules_ibfk_2	reminder_rules	updated_by	users	user_id
report_templates_ibfk_1	report_templates	created_by	users	user_id
report_templates_ibfk_2	report_templates	updated_by	users	user_id
risk_alerts_ibfk_1	risk_alerts	operator_id	users	user_id
risk_alerts_ibfk_2	risk_alerts	store_id	stores	store_id
risk_alerts_ibfk_3	risk_alerts	target_user_id	users	user_id
risk_alerts_ibfk_4	risk_alerts	reviewed_by	users	user_id
sku_attribute_values_ibfk_1	sku_attribute_values	sku_id	exchange_item_skus	sku_id
sku_attribute_values_ibfk_2	sku_attribute_values	attribute_id	attributes	attribute_id
sku_attribute_values_ibfk_3	sku_attribute_values	option_id	attribute_options	option_id
store_staff_ibfk_1	store_staff	user_id	users	user_id
store_staff_ibfk_2	store_staff	store_id	stores	store_id
store_staff_ibfk_3	store_staff	operator_id	users	user_id
fk_store_assigned_to	stores	assigned_to	users	user_id
stores_ibfk_1	stores	merchant_id	merchants	merchant_id
fk_dict_history_dict	system_dictionary_history	system_dictionary_id	system_dictionaries	system_dictionary_id
fk_trade_orders_listing	trade_orders	market_listing_id	market_listings	market_listing_id
trade_orders_ibfk_2	trade_orders	buyer_user_id	users	user_id
trade_orders_ibfk_3	trade_orders	seller_user_id	users	user_id
user_ad_tags_ibfk_1	user_ad_tags	user_id	users	user_id
user_behavior_tracks_ibfk_1	user_behavior_tracks	user_id	users	user_id
