TABLE_NAME	ENGINE	TABLE_ROWS	DATA_LENGTH	INDEX_LENGTH	AUTO_INCREMENT	CREATE_TIME	UPDATE_TIME
account_asset_balances	InnoDB	115	16384	65536	566	2026-04-22 03:29:00	2026-05-23 20:47:20
accounts	InnoDB	127	16384	49152	565	2025-12-15 16:36:41	2026-05-13 21:35:31
ad_antifraud_logs	InnoDB	0	16384	32768	11	2026-02-18 13:57:51	NULL
ad_attribution_logs	InnoDB	0	16384	81920	6	2026-02-18 13:57:51	NULL
ad_bid_logs	InnoDB	0	16384	49152	122	2026-04-01 21:56:33	NULL
ad_billing_records	InnoDB	0	16384	98304	1	2026-04-01 21:56:33	NULL
ad_campaigns	InnoDB	0	16384	114688	237	2026-04-01 21:56:33	2026-05-03 23:51:28
ad_click_logs	InnoDB	0	16384	49152	11	2026-02-18 13:57:51	NULL
ad_creatives	InnoDB	0	16384	65536	225	2026-03-17 12:21:29	2026-05-03 23:51:28
ad_dau_daily_stats	InnoDB	8	16384	16384	88	2026-03-01 23:12:30	2026-05-25 16:30:00
ad_impression_logs	InnoDB	0	16384	65536	17	2026-02-18 13:57:51	NULL
ad_interaction_logs	InnoDB	0	16384	81920	117	2026-02-22 04:12:49	NULL
ad_price_adjustment_logs	InnoDB	0	16384	0	1	2026-03-01 23:17:12	NULL
ad_report_daily_snapshots	InnoDB	0	16384	49152	13	2026-04-01 21:56:33	NULL
ad_slots	InnoDB	7	16384	32768	16	2026-04-01 21:56:33	NULL
ad_target_zones	InnoDB	1	16384	16384	4	2026-03-01 23:17:12	NULL
ad_zone_group_members	InnoDB	0	16384	32768	3	2026-03-01 23:17:12	NULL
ad_zone_groups	InnoDB	0	16384	0	2	2026-03-01 23:17:12	NULL
admin_notifications	InnoDB	14685	11026432	2359296	56472	2026-02-01 07:58:13	2026-05-25 19:05:03
admin_operation_logs	InnoDB	2917	3162112	2310144	8648	2026-03-14 22:41:42	2026-05-25 19:10:00
administrative_regions	InnoDB	44569	3686400	8454144	NULL	2026-01-12 00:17:42	NULL
alert_silence_rules	InnoDB	0	16384	0	1	2026-02-03 00:20:01	NULL
api_idempotency_requests	InnoDB	58	245760	65536	4029525	2026-02-01 07:58:14	2026-05-24 19:10:00
approval_chain_instances	InnoDB	96	49152	98304	405	2026-03-10 00:15:30	NULL
approval_chain_nodes	InnoDB	4	16384	65536	11	2026-03-10 00:15:30	NULL
approval_chain_steps	InnoDB	88	16384	98304	405	2026-03-10 00:15:30	NULL
approval_chain_templates	InnoDB	2	16384	49152	8	2026-03-10 00:15:30	NULL
asset_conversion_rules	InnoDB	9	16384	49152	11	2026-04-05 22:46:55	NULL
asset_group_defs	InnoDB	9	16384	0	NULL	2026-01-14 22:13:46	NULL
asset_transactions	InnoDB	83161	39387136	49266688	146736	2026-03-22 21:11:46	2026-05-23 20:47:20
attribute_options	InnoDB	0	16384	16384	1	2026-03-20 18:11:13	NULL
attributes	InnoDB	0	16384	16384	1	2026-03-20 18:11:13	NULL
auction_bids	InnoDB	0	16384	49152	1	2026-03-24 16:42:06	NULL
auction_listings	InnoDB	0	16384	98304	2	2026-03-24 16:42:06	NULL
authentication_sessions	InnoDB	78	16384	81920	18742	2026-02-20 12:20:05	2026-05-24 09:00:01
batch_operation_logs	InnoDB	129	98304	98304	132	2026-02-01 07:58:13	2026-05-25 19:10:00
bid_products	InnoDB	0	16384	114688	5	2026-03-22 02:59:34	NULL
bid_records	InnoDB	0	16384	49152	1	2026-02-14 22:06:46	NULL
categories	InnoDB	30	16384	81920	251	2026-03-23 12:20:04	NULL
category_attributes	InnoDB	0	16384	32768	1	2026-03-20 18:11:13	NULL
chat_messages	InnoDB	63	16384	98304	22743	2026-02-01 07:59:17	2026-05-11 23:50:52
consumption_records	InnoDB	48	16384	262144	2954	2026-03-22 21:11:46	NULL
content_review_records	InnoDB	153	65536	81920	6112	2026-02-01 07:58:13	NULL
customer_service_agents	InnoDB	0	16384	49152	5	2026-02-20 03:58:00	NULL
customer_service_issues	InnoDB	0	16384	131072	5	2026-03-19 12:20:05	NULL
customer_service_notes	InnoDB	0	16384	65536	3	2026-02-22 08:34:20	NULL
customer_service_sessions	InnoDB	60	16384	147456	2159	2026-02-22 12:20:05	2026-05-11 23:50:52
customer_service_user_assignments	InnoDB	2	16384	65536	5	2026-02-20 03:58:00	NULL
diy_materials	InnoDB	21	16384	81920	53	2026-04-07 22:14:30	NULL
diy_templates	InnoDB	4	16384	114688	67	2026-03-31 12:41:44	NULL
diy_works	InnoDB	8	16384	98304	70	2026-04-01 12:27:28	NULL
exchange_channel_prices	InnoDB	119	16384	32768	333	2026-03-22 02:59:34	NULL
exchange_item_attribute_values	InnoDB	0	16384	32768	1	2026-03-22 02:59:34	NULL
exchange_item_skus	InnoDB	117	16384	65536	333	2026-03-22 02:59:33	NULL
exchange_items	InnoDB	119	16384	114688	465	2026-03-22 02:59:33	NULL
exchange_order_events	InnoDB	49	16384	65536	738	2026-03-22 22:07:09	NULL
exchange_records	InnoDB	47	49152	229376	1099	2026-04-07 21:42:12	NULL
feature_flags	InnoDB	8	16384	49152	3374	2026-02-01 07:58:13	NULL
feedbacks	InnoDB	180	49152	65536	342	2025-11-09 12:24:32	2026-05-03 23:51:31
item_holds	InnoDB	5	16384	49152	2034	2026-03-20 18:11:14	2026-05-25 01:10:00
item_ledger	InnoDB	17995	3686400	9256960	30829	2026-02-22 11:21:06	NULL
